Document,Sentence_ID,Sentence_Text,Context_Snippet,Bias_Risk_Score,Bias_Types,Word_Count,Evidence_Count,Reasoning_Count,Prosecution_Mentions,Defence_Mentions,Contradiction_Count,Certainty_Count,Subjective_Count,Certainty_Support_Ratio,Statement_Nature,Contextual_Imbalance
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,1,"Vikash Kumar vs Kolkata-Prev on 6 February, 2026
Vikash Kumar vs Kolkata-Prev on 6 February, 2026
IN THE CUSTOMS, EXCISE AND SERVICE TAX APPELLATE TRIBUNAL
EASTERN ZONAL BENCH: KOLKATA
REGIONAL BENCH - COURT NO.","Vikash Kumar vs Kolkata-Prev on 6 February, 2026
Vikash Kumar vs Kolkata-Prev on 6 February, 2026
IN THE CUSTOMS, EXCISE AND SERVICE TAX APPELLATE TRIBUNAL
EASTERN ZONAL BENCH: KOLKATA
REGIONAL BENCH - COURT NO. | 1
Customs Appeal No.",0,None,33,0,0,0,0,0,0,0,0.0,Neutral/Procedural,0.0
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,2,"1
Customs Appeal No.","Vikash Kumar vs Kolkata-Prev on 6 February, 2026
Vikash Kumar vs Kolkata-Prev on 6 February, 2026
IN THE CUSTOMS, EXCISE AND SERVICE TAX APPELLATE TRIBUNAL
EASTERN ZONAL BENCH: KOLKATA
REGIONAL BENCH - COURT NO. | 1
Customs Appeal No. | 75368 of 2025
(Arising out of Order-in-Appeal No.",0,None,4,0,0,0,0,0,0,0,0.0,Neutral/Procedural,0.0
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,3,"75368 of 2025
(Arising out of Order-in-Appeal No.","1
Customs Appeal No. | 75368 of 2025
(Arising out of Order-in-Appeal No. | KOL/CUS/CCP/KS/674/2023 dated 08.09.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o.",0,None,8,0,0,0,0,0,0,0,0.0,Neutral/Procedural,0.5
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,4,"KOL/CUS/CCP/KS/674/2023 dated 08.09.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o.","75368 of 2025
(Arising out of Order-in-Appeal No. | KOL/CUS/CCP/KS/674/2023 dated 08.09.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o. | Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No.",0,None,24,0,0,0,1,0,0,0,0.0,Argument Tracking,0.67
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,5,"Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No.","KOL/CUS/CCP/KS/674/2023 dated 08.09.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o. | Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No. | 75369 of 2025
(Arising out of Order-in-Appeal No.",0,None,27,0,0,0,1,0,0,0,0.0,Argument Tracking,0.67
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,6,"75369 of 2025
(Arising out of Order-in-Appeal No.","Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No. | 75369 of 2025
(Arising out of Order-in-Appeal No. | KOL/CUS/CCP/KS/648/2023 dated 23.08.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o.",0,None,8,0,0,0,0,0,0,0,0.0,Neutral/Procedural,0.67
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,7,"KOL/CUS/CCP/KS/648/2023 dated 23.08.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o.","75369 of 2025
(Arising out of Order-in-Appeal No. | KOL/CUS/CCP/KS/648/2023 dated 23.08.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o. | Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No.",0,None,24,0,0,0,1,0,0,0,0.0,Argument Tracking,0.67
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,8,"Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No.","KOL/CUS/CCP/KS/648/2023 dated 23.08.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o. | Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No. | 75370 of 2025
(Arising out of Order-in-Appeal No.",0,None,27,0,0,0,1,0,0,0,0.0,Argument Tracking,0.67
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,9,"75370 of 2025
(Arising out of Order-in-Appeal No.","Bagishwar Sharma,
Kaswan, Jehanabad, Bihar - 804 429
VERSUS
Commissioner of Customs (Preventive) : Respondent
3rd Floor, Custom House,
15/1, Strand Road, Kolkata - 700 001
WITH
Customs Appeal No. | 75370 of 2025
(Arising out of Order-in-Appeal No. | KOL/CUS/CCP/KS/672/2023 dated 08.09.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o.",0,None,8,0,0,0,0,0,0,0,0.0,Neutral/Procedural,0.67
Vikash_Kumar_vs_Kolkata_Prev_on_6_February_2026.PDF,10,"KOL/CUS/CCP/KS/672/2023 dated 08.09.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o.","75370 of 2025
(Arising out of Order-in-Appeal No. | KOL/CUS/CCP/KS/672/2023 dated 08.09.2023
passed by the Commissioner of Customs (Appeals), 3rd Floor, Custom House, 15/1,
Strand Road, Kolkata - 700 001)
Vikash Kumar : Appellant
S/o. | : C/75368,75369,75370,76038/2025-DB
AND
Customs Appeal No.",0,None,24,0,0,0,1,0,0,0,0.0,Argument Tracking,0.5
